global_index,timestamp_ms,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_q1,joint_q2,joint_q3,joint_q4,joint_q5,joint_q6
0,1774920469996,0.200000000000000,0.000000000000000,0.030000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.200000000000000,0.000000000000000,0.100000000000000,0.000000000000000,0.100000000000000
1,1774920470007,0.199000833055605,0.019966683329366,0.030500000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.009983341664683,0.199000833055605,0.019866933079506,0.099500416527803,0.009983341664683,0.098006657784124
2,1774920470018,0.196013315568248,0.039733866159012,0.031000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.019866933079506,0.196013315568248,0.038941834230865,0.098006657784124,0.019866933079506,0.092106099400289
3,1774920470029,0.191067297825121,0.059104041332268,0.031500000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.029552020666134,0.191067297825121,0.056464247339504,0.095533648912561,0.029552020666134,0.082533561490968
4,1774920470040,0.184212198800577,0.077883668461730,0.032000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.038941834230865,0.184212198800577,0.071735609089952,0.092106099400289,0.038941834230865,0.069670670934717
5,1774920470050,0.175516512378075,0.095885107720841,0.032500000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.047942553860420,0.175516512378075,0.084147098480790,0.087758256189037,0.047942553860420,0.054030230586814
6,1774920470060,0.165067122981936,0.112928494679007,0.033000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.056464247339504,0.165067122981936,0.093203908596723,0.082533561490968,0.056464247339504,0.036235775447667
7,1774920470071,0.152968437456898,0.128843537447538,0.033500000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.064421768723769,0.152968437456898,0.098544972998846,0.076484218728449,0.064421768723769,0.016996714290024
8,1774920470082,0.139341341869433,0.143471218179905,0.034000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.071735609089952,0.139341341869433,0.099957360304151,0.069670670934717,0.071735609089952,-0.002919952230129
9,1774920470092,0.124321993654133,0.156665381925497,0.034500000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.078332690962748,0.124321993654133,0.097384763087820,0.062160996827066,0.078332690962748,-0.022720209469309
10,1774920470103,0.108060461173628,0.168294196961579,0.035000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.084147098480790,0.108060461173628,0.090929742682568,0.054030230586814,0.084147098480790,-0.041614683654714
11,1774920470114,0.090719224285116,0.178241472012287,0.035500000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.089120736006144,0.090719224285116,0.080849640381959,0.045359612142558,0.089120736006144,-0.058850111725535
